cpi_category,period,year,month,uom,food_cpi,geo,food_cpi_yoy_change_percent,category_lower,overall_cpi,overall_cpi_yoy_change_percent,food_minus_overall_cpi_growth
Food,2025-06-01,2025,6,2002=100,195.6,Canada,2.947368421052632,food,164.4,1.8587360594795488,1.088632361573083
Food,2025-07-01,2025,7,2002=100,196.8,Canada,3.307086614173227,food,164.9,1.727328809376938,1.579757804796289
Food,2025-08-01,2025,8,2002=100,196.8,Canada,3.415659485023648,food,164.8,1.8541409147095236,1.5615185703141246
Food,2025-09-01,2025,9,2002=100,197.5,Canada,3.7834997372569568,food,164.9,2.358783364369965,1.4247163728869916
Food,2025-10-01,2025,10,2002=100,196.9,Canada,3.3595800524934383,food,165.3,2.163164400494444,1.1964156519989944
Food,2025-11-01,2025,11,2002=100,199.5,Canada,4.177545691906004,food,165.4,2.224969097651419,1.9525765942545847
Food,2025-12-01,2025,12,2002=100,199.7,Canada,6.223404255319154,food,165.0,2.3573200992556,3.866084156063554
Food,2026-01-01,2026,1,2002=100,200.7,Canada,7.326203208556148,food,165.0,2.293862368257904,5.032340840298244
Food,2026-02-01,2026,2,2002=100,200.8,Canada,5.406824146981637,food,165.9,1.7791411042944905,3.6276830426871465
Food,2026-03-01,2026,3,2002=100,201.5,Canada,3.973168214654277,food,167.4,2.3853211009174258,1.587847113736851
Food,2026-04-01,2026,4,2002=100,201.3,Canada,3.4961439588689025,food,168.0,2.815177478580177,0.6809664802887254
